# L1_m9 fgas-2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 6.796716e-02
1.499558e+02 1.152614e-01
2.237077e+02 1.887241e-01
3.337327e+02 3.027186e-01
4.978707e+02 4.712686e-01
7.427358e+02 6.872027e-01
1.108032e+03 9.475159e-01
1.652989e+03 1.204030e+00
2.465970e+03 1.393793e+00
3.678794e+03 1.450179e+00
5.488116e+03 1.313806e+00
8.187308e+03 1.024088e+00
