# L2p8_m9_lc6 masked tSZ, q>20 (qfrommz_alpha_fixed_1p12); same masking as the binned_18 file; Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005184e+02 6.291141e-02
1.499558e+02 1.068242e-01
2.237077e+02 1.718068e-01
3.337327e+02 2.763838e-01
4.978707e+02 4.316187e-01
7.427358e+02 6.503476e-01
1.108032e+03 9.299801e-01
1.652989e+03 1.234989e+00
2.465970e+03 1.496141e+00
3.678794e+03 1.619508e+00
5.488116e+03 1.533653e+00
8.187308e+03 1.258616e+00
