# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>50 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 8.424183e-02
1.499558e+02 1.385981e-01
2.237077e+02 2.189211e-01
3.337327e+02 3.351862e-01
4.978707e+02 4.980045e-01
7.427358e+02 6.964923e-01
1.108032e+03 9.276589e-01
1.652989e+03 1.148719e+00
2.465970e+03 1.296802e+00
3.678794e+03 1.310146e+00
5.488116e+03 1.143206e+00
8.187308e+03 8.492232e-01
